# DAY, BCHAIN/MKPRU, BCHAIN/MWNTD, BCHAIN/AVBLS, BCHARTS/KRAKENEUR, BCHAIN/NTRBL, BCHAIN/ETRAV, BCHAIN/MKTCP, BCHAIN/TRFUS, BCHAIN/HRATE, BCHARTS/BITSTAMPUSD, BCHAIN/DIFF, BCHAIN/MIREV, BCHAIN/ATRCT, BCHAIN/CPTRA, BCHAIN/NTREP, BCHAIN/NADDU, BCHAIN/TOTBC
99.00000000,3218.11501667,56264.00000000,0.88123159,2425.90000000,1354.63841808,305693.18522800,53069653154.80000305,365470.98247800,7568850.42141000,2851.01000000,860221984436.00000000,7255240.30508000,10.37500000,31.21958225,232773.00000000,463849.00000000,16490912.50000000
100.00000000,3252.56253333,47283.00000000,0.78643401,2762.49900000,1425.90714286,321040.55690200,53643416122.40000153,285921.06106400,5986661.35027000,3263.51000000,860221984436.00000000,5802571.55947000,12.42500000,29.94537560,193455.00000000,408435.00000000,16492662.50000000
101.00000000,3407.22683333,60848.00000000,0.94369782,2742.73300000,1627.46405229,406656.61751300,56200758544.40000153,415090.49197400,6542565.61851000,3216.78000000,860221984436.00000000,6700311.56775000,7.70000000,27.83677164,241118.00000000,512717.00000000,16494575.00000000
102.00000000,3457.37433333,60026.00000000,0.97924771,2876.34000000,1680.32926829,360275.33482500,57035007861.59999847,549940.71548500,7012946.15317000,3387.54000000,860221984436.00000000,7395323.69900000,12.05000000,27.71508959,265704.00000000,587787.00000000,16496625.00000000
103.00000000,3357.32631667,61912.00000000,0.95416592,2925.00000000,1890.97826087,240405.45275500,55390344636.59999847,530296.11455100,6333394.73737000,3408.46000000,888074709978.00012207,6117048.54897000,11.70000000,24.22518829,253174.00000000,532314.00000000,16498350.00000000
104.00000000,3424.40420000,55044.00000000,0.98128164,2872.55500000,1925.11194030,281254.30230800,56502754910.09999847,661546.95954100,6149818.07831000,3342.99000000,923233068448.00012207,6163927.56000000,13.16666667,24.79958132,249804.00000000,550474.00000000,16500025.00000000
105.00000000,3632.50666667,58884.00000000,0.96717090,2916.81700000,1972.22916667,272963.77444300,59942989324.69999695,853438.19725700,6608759.72595000,3410.00000000,923233068448.00012207,7130610.58667000,11.93333333,26.02790200,273509.00000000,580987.00000000,16501825.00000000
106.00000000,3852.80291429,57059.00000000,0.97991503,3118.40000000,1929.78518519,225972.98654400,63584781056.00000000,811987.46919600,6195712.24308000,3651.74000000,923233068448.00012207,7067966.94626000,19.45833333,28.07294762,252439.00000000,530699.00000000,16503512.50000000
107.00000000,4125.54802000,56181.00000000,0.98332016,3293.00000000,1779.12162162,224562.88412200,68093665581.30000305,782662.03205400,6792336.38500000,3855.04000000,923233068448.00012207,8147957.33950000,8.45000000,31.95824644,254611.00000000,516470.00000000,16505362.50000000
108.00000000,4282.99200000,51703.00000000,0.95526276,3465.91000000,1964.32307692,203972.34514700,70699295406.60000610,1067271.38326000,5966241.41926000,4053.87000000,923233068448.00012207,7782196.46400000,17.37500000,31.43433002,247068.00000000,542909.00000000,16506987.50000000
109.00000000,4217.02832857,67660.00000000,0.97506990,3684.00000000,2046.06578947,286004.19119500,69618446260.69999695,1477859.19131000,6975913.04406000,4320.95000000,923233068448.00012207,9146734.44467000,15.05000000,30.51495815,300436.00000000,650899.00000000,16508887.50000000
110.00000000,4360.87687143,59145.00000000,0.96672771,3543.03800000,2114.35384615,225303.95287500,72000312096.69999695,1515513.77242000,5966241.41926000,4154.99000000,923233068448.00012207,8320553.07069000,14.25000000,31.29502626,266961.00000000,543436.00000000,16510512.50000000
111.00000000,4328.72571667,73224.00000000,0.97868160,3740.00000000,1940.32960894,304554.25517200,71479165577.89999390,1581354.27494000,8215055.49267000,4361.99000000,923233068448.00012207,10849951.00880000,8.65000000,32.43956727,337055.00000000,631515.00000000,16512750.00000000
112.00000000,4130.44006667,53841.00000000,0.95998736,3646.00000000,2095.63758389,275331.80887700,68212617155.50000000,1395931.46830000,6838230.54977000,4260.47000000,923233068448.00012207,8775119.92163000,14.42500000,29.10768965,301461.00000000,580732.00000000,16514612.50000000
113.00000000,4222.66221429,59168.00000000,0.96645516,3520.95900000,1767.09933775,313472.69393000,69743600462.19999695,1122855.70487000,6930018.87929000,4100.00000000,923233068448.00012207,8768358.08796000,9.91666667,34.07811145,258336.00000000,535350.00000000,16516500.00000000
114.00000000,4157.95803333,44323.00000000,0.96144900,3560.72000000,1621.93846154,181583.87597200,68681670539.40000153,868938.37029600,5966241.41926000,4091.99000000,923233068448.00012207,7392849.38327000,11.93333333,36.16574742,203607.00000000,444725.00000000,16518125.00000000
115.00000000,4043.72200000,44321.00000000,0.97648700,3479.99100000,2058.88695652,202649.23936100,66800518311.59999847,1204887.48323000,5277828.94781000,4058.64000000,923233068448.00012207,6787387.37700000,13.81666667,29.63922194,227242.00000000,501755.00000000,16519562.50000000
116.00000000,4082.18098333,40218.00000000,0.99817524,3399.00000000,2205.42696629,215933.01456200,67440385316.80000305,1364202.61141000,4084580.66396000,3987.51000000,923233068448.00012207,5749751.91502000,28.95000000,30.08731757,189037.00000000,419158.00000000,16520675.00000000
117.00000000,4174.95000000,73047.00000000,0.98651067,3497.50000000,1985.74842767,253757.86221100,68981289804.39999390,2262700.49681000,7297172.19740000,4078.00000000,923233068448.00012207,10230714.97500000,12.55000000,33.44718536,305147.00000000,628516.00000000,16522662.50000000
118.00000000,4340.31671667,35753.00000000,0.93878623,3549.86800000,2017.87128713,174190.87368300,71719067902.39999390,1675358.92891000,4459277.50765000,4121.78000000,891643263405.00000000,6929315.63816000,12.65000000,35.10713076,196200.00000000,423332.00000000,16523925.00000000
119.00000000,4363.05445000,44880.00000000,0.92875899,3693.58800000,2061.07920792,175375.84051800,72100292859.00000000,1857857.86680000,4459277.50765000,4308.80000000,888171856257.00000000,7153227.77077000,17.11666667,35.38574000,199952.00000000,471224.00000000,16525187.50000000
120.00000000,4360.51331667,53786.00000000,0.99821815,3676.09000000,2157.00000000,159815.19296600,72064023327.89999390,1854583.53245000,4635882.55746000,4348.17000000,888171856257.00000000,7319121.60202000,20.51666667,33.45809771,219933.00000000,472784.00000000,16526500.00000000
121.00000000,4354.30833333,64186.00000000,0.99080201,3653.00000000,1689.61935484,179468.16791100,71969913143.19999695,1562511.87958000,6843445.68006000,4333.38000000,888171856257.00000000,9642615.80417000,11.08333333,38.17994614,239910.00000000,509082.00000000,16528437.50000000
122.00000000,4391.67351667,50105.00000000,0.98130023,3637.53500000,1734.65891473,210661.02871200,72594582814.19999695,1660836.35739000,5695512.85631000,4329.91000000,888171856257.00000000,8451775.68283000,11.00000000,39.06855626,215537.00000000,504370.00000000,16530050.00000000
123.00000000,4607.98545000,67502.00000000,0.99817711,3665.98000000,1886.68456376,248443.81227600,76178812260.69999695,2127784.01411000,6578538.10535000,4385.00000000,888171856257.00000000,10384095.21160000,15.95000000,38.09870984,265191.00000000,593017.00000000,16531912.50000000
124.00000000,4594.98785000,68987.00000000,0.98337211,3807.30000000,1615.86904762,219995.30221900,75973586549.19999695,1785141.43295000,7417412.09193000,4578.82000000,888171856257.00000000,11046350.79140000,11.35000000,42.12172397,258886.00000000,565808.00000000,16534012.50000000
125.00000000,4748.25500000,66779.00000000,0.98164153,3837.03000000,1722.23312883,251079.61705300,78517382092.80000305,1962049.70033000,7196655.77967000,4573.15000000,888171856257.00000000,11260486.73250000,14.15000000,41.45217104,267739.00000000,589297.00000000,16536050.00000000
126.00000000,4911.74001667,66264.00000000,0.97187959,3980.07000000,1630.28735632,250015.72065500,81231461537.10000610,1879929.22894000,7682319.66665000,4734.26000000,888171856257.00000000,12131997.84120000,11.62500000,44.28724844,270293.00000000,591520.00000000,16538225.00000000
